Sample,ASite,T.salsa,H.wilberti,Textularia sp,T.irregularis,P.ipohalina,E.macrescens,T.inflata,S. lobata,M.fusca,A.agglutinans,A.exiguus,A.subcatenulatus,P.hyperhalina,H.germanica,A. beccarii,Total Counts,Elevation (m AHD)
LG305,Lutregala,0,0,0,0,0,0.7,1.4,0,97.3,0.7,0,0,0,0,0,148,0.182
LG315,Lutregala,0,2.3,0,0,0,0.6,30.5,0,66.1,0.6,0,0,0,0,0,174,0.217
ST-2LG220,Lutregala,0,0,0,0,0,0,0,0,90,0,0,0,0,0,10,10,0.239
ST-2LG235,Lutregala,0,0,0,0,0,12.5,25,0,62.5,0,0,0,0,0,0,8,0.316
ST-2LG240,Lutregala,0,0,0,0,0,6.7,40,0,53.3,0,0,0,0,0,0,15,0.343
LG295,Lutregala,0,15.2,0,0.7,0,2,23.8,0,58.3,0,0,0,0,0,0,151,0.563
LG290,Lutregala,0,2.2,0,19.9,0,0.5,29,0,48.4,0,0,0,0,0,0,186,0.581
ST-2LG190,Lutregala,0,3.5,0,0,0,0,19.3,1.8,75.4,0,0,0,0,0,0,57,0.583
ST-2LG160,Lutregala,0,3.7,0,0.6,0,3,39.6,0,53,0,0,0,0,0,0,328,0.591
LG285,Lutregala,0,5.4,0,8.9,0,12.5,37.5,0,35.7,0,0,0,0,0,0,56,0.598
LG2,Lutregala,0,10.2,0,6.8,0,11.9,64.4,0,6.8,0,0,0,0,0,0,59,0.598
ST-2LG140,Lutregala,0,0.7,0,13.3,0.4,3.2,22.9,0,59.5,0,0,0,0,0,0,279,0.608
LG280,Lutregala,0.4,0,0,1.6,0,2.8,19.4,0,75.7,0,0,0,0,0,0,247,0.611
ST-2LG120,Lutregala,0,0,0,6.3,2,19.6,27.1,1.2,43.9,0,0,0,0,0,0,255,0.62
ST-2LG100,Lutregala,0,0.4,0,0.4,0,56.6,42.6,0,0,0,0,0,0,0,0,272,0.634
LG275,Lutregala,0,0,0,0.3,2.1,18.5,38.4,0.3,40.5,0,0,0,0,0,0,383,0.636
LG255,Lutregala,0,0,0,0,0,66.7,25.1,2.9,5.3,0,0,0,0,0,0,171,0.659
ST-2LG80,Lutregala,0,15.8,0,11.1,0,3.5,68.4,0,1.2,0,0,0,0,0,0,171,0.678
LG260,Lutregala,0,0,0,2.8,0,26.5,26.1,0.9,43.7,0,0,0,0,0,0,567,0.681
LG3,Lutregala,0,0,0,0,0,9.4,82.8,0,7.8,0,0,0,0,0,0,64,0.681
ST-2LG60,Lutregala,0,0,0,1.2,0,28.6,69.4,0,0.7,0,0,0,0,0,0,412,0.69
LG240,Lutregala,0,0,0,3.1,0,19.7,35.8,0,41.4,0,0,0,0,0,0,452,0.696
LG245,Lutregala,0,0.4,0,0,0,18.9,27.5,0.8,52.5,0,0,0,0,0,0,244,0.716
LG230,Lutregala,0,0,0,11.8,0,58.8,27.5,0,2,0,0,0,0,0,0,102,0.726
LG225,Lutregala,0,0.6,0,4.5,0,24.8,64.3,0,5.7,0,0,0,0,0,0,157,0.737
ST-2LG40,Lutregala,0.7,0.2,0,1.7,0,65.6,31.7,0,0,0,0,0,0,0,0,410,0.737
LG1,Lutregala,0,0,0,1.7,0,12.9,83.6,0,1.7,0,0,0,0,0,0,116,0.751
LG6,Lutregala,10.6,14.9,0,0,0,61.7,12.8,0,0,0,0,0,0,0,0,47,0.76
LG215,Lutregala,0,0,0,6.3,0,12.5,18.8,0,62.5,0,0,0,0,0,0,16,0.761
LG4,Lutregala,0,0,0,0,0,59.2,39.5,0,1.3,0,0,0,0,0,0,76,0.767
LG185,Lutregala,0,0,0,3.2,0,71.4,25.4,0,0,0,0,0,0,0,0,63,0.772
ST-2LG0,Lutregala,0,0,0,9.4,0,63.9,12,0,14.6,0,0,0,0,0,0,233,0.786
LG130,Lutregala,2,13.9,0,4.8,0,10.7,63.9,0,4.8,0,0,0,0,0,0,252,0.793
LG170,Lutregala,0,0,0,37.8,0,61.1,1.1,0,0,0,0,0,0,0,0,90,0.798
LG135,Lutregala,10.4,30,0,2.1,0,4.4,50,0.4,2.7,0,0,0,0,0,0,814,0.806
LG48,Lutregala,39.5,43.1,0,0,0,6.4,8.9,0,2.1,0,0,0,0,0,0,281,0.81
LG160,Lutregala,3,34.7,0,9.9,0,4,46.5,1,1,0,0,0,0,0,0,101,0.821
LG5,Lutregala,0,0,0,0,0,45.5,53,0,1.5,0,0,0,0,0,0,66,0.823
LG60,Lutregala,49.2,13.7,0,13,0,11.5,9.2,0.2,3.2,0,0,0,0,0,0,524,0.823
LG38,Lutregala,56,28.8,0,0.4,0,6.6,8.2,0,0,0,0,0,0,0,0,257,0.836
LG36,Lutregala,51.9,10.3,0,0,0,13.4,24.4,0,0,0,0,0,0,0,0,320,0.85
LG7,Lutregala,68,8.2,0,2.5,0,7.4,7.4,0,6.6,0,0,0,0,0,0,122,0.867
LG32,Lutregala,75.4,1.8,0,3.6,0,17.4,1.8,0,0,0,0,0,0,0,0,167,0.868
LG120,Lutregala,44.4,9.4,0.4,0,0,5.4,40.4,0,0,0,0,0,0,0,0,223,0.869
LG30,Lutregala,77.8,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,18,0.915
LG24,Lutregala,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.937
LG8 ,Lutregala,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.955
LG26 (HOF),Lutregala,85.7,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,7,0.956
LG20 ,Lutregala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963
LG14,Lutregala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993
LG19,Lutregala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002
WAP 240 ST-1,Wapengo,0,0,0,0,0,0,0.6,0,82,0,17.4,0,0,0,0,328,0.384
WAP 230 ST-1,Wapengo,0,0,0,0,0,0,1.5,0,89.6,0,9,0,0,0,0,67,0.421
WAP 210 ST-1,Wapengo,0,0,0,0,0.7,0,0.3,0,48.2,5.6,44.6,0,0.7,0,0,303,0.447
WAP 200 ST-1,Wapengo,0,0,0,0,0,0,0,0,50,1,47.9,0,1,0,0,96,0.456
WAP 190 ST-1,Wapengo,0,0,0,0,0,0,0,0,80,0,19.3,0,0.7,0,0,140,0.468
WAP 180 ST-1,Wapengo,0,0,0,0,0,0,0,0,63.6,2.9,30.1,0,3.5,0,0,173,0.544
WAP 175 ST 1,Wapengo,0,0,0,0,0,0,46.1,0,16.6,1.8,34,0,1.5,0,0,453,0.556
WAP 170 ST-1,Wapengo,0,0,0,0,0,0,0.9,0,33.3,7.1,49.3,0.4,8.9,0,0,225,0.561
WAP 165 ST-1,Wapengo,0,0,0,0,0,9.5,71.4,0,14.3,4.8,0,0,0,0,0,21,0.578
WAP 160 ST-1,Wapengo,1.7,0,0,0,5.1,30.5,59.3,0,3.4,0,0,0,0,0,0,59,0.596
WAP 159 ST1,Wapengo,0,0,0,0,27.4,43.8,0,0,28.8,0,0,0,0,0,0,73,0.631
WAP 155 ST-1,Wapengo,0,0,0,0,3.6,29.1,67.3,0,0,0,0,0,0,0,0,55,0.643
WAP 60 ST-2,Wapengo,0,0,0,0,13,71.3,15.7,0,0,0,0,0,0,0,0,115,0.644
WAP 55 ST-2,Wapengo,0,0,0,0,3.5,85,7.1,0,4.4,0,0,0,0,0,0,113,0.668
WAP 50 ST-2,Wapengo,0,0,0,0,17,19.9,62.4,0,0.3,0,0,0,0,0.3,0,311,0.682
WAP 150 ST-1 ,Wapengo,0,0,0,4.7,3.1,20.3,10.9,0,60.9,0,0,0,0,0,0,64,0.687
